	research_title	research_subject
2765	경련을 주소로 내원한 Brugada증후군 환자 1례  :  A Case Report = Brugada Syndrome Presenting With Convulsion in the Emergency Department	Brugada syndrome ;  Convulsion
2766	상고실이 함몰된 환자에서 발생 기원이 모호한 유양동 진주종 1예 = A case of mastoid cholesteatoma: Did it originate from attic retraction?	Otalgia ;  Cholesteatoma ;  Mastoid ;  Temporal bone
2767	Atypical hemolytic uremic syndrome and eculizumab therapy in children	Atypical hemolytic uremic syndrome ;  Child ;  Eculizumab ;  Plasma therapy ;  Guideline
2768	Spontaneous spinal subarachnoid hematoma discovered accidentally	Hematoma ;  Subarachnoid ;  Spinal ;  Emergencies
2769	가벼운 사슬 골수종과 동반된 심장막 아밀로이드증 = Pericardial Amyloidosis Associated with Light-chain Myeloma	Amyloidosis ;  Pericardial effusion ;  Multiple myeloma ;  아밀로이드증 ;  심장막 삼출액 ;  다발성골수종
2770	증례 : 내시경 경비 담관 배액술로 진단된 간질증 1예 = Case Reports : A case of fascioliasis diagnosed by endoscopic nasobiliary drainage fluid examination	Fascioliasis ;  Cholangiopancreatography ;  Endoscopic retrograde ;  Drainage ;  간질증 ;  간낭종 ;  내시경 역행성 담췌관 조영술 ;  담즙배액검사
2771	전신성홍반성루푸스에 동반된 급성 비결석담낭염 = A Case of Acute Acalculous Cholecystitis in a Patient with Systemic Lupus Erythematosus	Systemic Lupus erythematosus ;  Acute acalculous cholecystitis
2772	만성 B형 간염 보균자에서 간염의 급성 악화와 동반된 다발성 관절염 = A Case of Polyarthritis Associated with Reactivation of Chronic Hepatitis B Virus Infection	Chronic hepatitis B ;  Immune complex ;  Polyarthritis
2773	2기 매독 환자에서 중증 과민성 간질성 폐렴을 동반한 Jarisch-Herxheimer 반응 = A Case of Jarisch-Herxheimer Reaction Complicated by Fatal Hypersensitivity Pneumonitis in a Patient with Secondary Syphilis	Hypersensitivity pneumonitis ;  Jarisch-Herxheimer reaction ;  Secondary syphilis
2774	비장파열 또는 비장경색을 동반한 삼일열 말라리아 2예의 경험 = Two Cases of Vivax Malaria Accompanied by Splenic Complications (such as splenic rupture and splenic infarction)	Plasmodium vivax ;  Splenic infarction ;  Splenic rupture
2775	말단골용해를 동반한 일차성 비후성 골관절증 1예 = Case Report : A Case of Acroosteolysis in Primary Hypertrophic Osteoarthropathy	Primary hypertrophic osteoarthropathy ;  Acroosteolysis
2776	혀에 발생한 대칭성 지방종증의 치험례 = BENIGN SYMMETRIC LIPOMATOSIS OF TONGUE: REPORT OF A CASE	Symmetric lipomatosis ;  Tongue
2777	일본뇌염백신: 국제적 현황과 우리나라 현황 = The Japanese Encephalitis Vaccine: Worldwide and Korean Status	Japanese encephalitis ;  Inactivated and live-attenuated vaccine
2778	S-535 : A case of cefepime-induced encephalopathy = S-535 : A case of cefepime-induced encephalopathy	cefepime ;  encephalopathy ;  electroencephalography
2779	Case Report : Vitiligo Coexistent with Nevus Depigmentosus: This Was Treated with Narrow-Band UVB and These Lesions Were Followed Using the Mexameter(R), a Pigment-Measuring Device = Case Report : Vitiligo Coexistent with Nevus Depigmentosus: This Was Treated with Narrow-Band UVB and These Lesions Were Followed Using the Mexameter(R), a Pigment-Measuring Device	Narrow-band UVB ;  Nevus depigmentosus ;  Vitiligo
2780	Posterior Reversible Encephalopathy Syndrome Following Meningitis in Pregnancy	Posterior reversible encephalopathy syndrome ;  Meningitis ;  Pregnancy
2781	여성후두암의 임상적 특성 = Clinical Characteristics of Female Laryngeal Cancer	Prognosis ;  Nodal Metastasis ;  Supraglottis
2782	갑상선중독증이 동반된 급성 화농성 갑상선염 1예 = A case of acute suppurative thyroiditis with thyrotoxicosis	Acute suppurative thryroiditis ;  Thyrotoxicosis ;  Burkholderia gladioli ;  급성 화농성 갑상선염 ;  갑상선중독증
2783	Pseudomyxoma Peritonei = A Case of Pseudomyxoma Peritonei	Pseudomyxoma Peritonei ;  mucinous tumor of the ovary ;  복막위점액종 ;  난소점액낭종
2784	증례 : 신장 ; 급성 신부전이 합병된 전신다한증 1예 = Case Reports : Nephrology ; A Case of Generalized Hyperhidrosis Complicated with Acute Renal Failure	Hyperhidrosis ;  Acute kidney injury ;  Starch-iodine test ;  Cholinergic antagonists ;  전신다한증 ;  급성 신부전 ;  전분-요오드 검사 ;  항콜린성 제제
2785	증례 : 소화기 ; 특발성 간경변증을 동반한 POEMS 증후군 1예 = Case Reports : Gastroenterology ; A Case of POEMS Syndrome Associated with Idiopathic Liver Cirrhosis	POEMS 증후군 ;  복수 ;  간경변증 ;  POEMS syndrome ;  Ascites ;  Liver cirrhosis
2786	댄디-워커 기형이 동반된 다수의 선천성 멜라닌 세포 모반 = Multiple Congenital Melanocytic Nevi in Association with Dandy-Walker Malformation	Congenital melanocytic nevus ;  Dandy-Walker malformation ;  Neurocutaneous melanosis
2787	P053 : Nail lichen striatus: a case series of 7 Korean patients = P053 : Nail lichen striatus: a case series of 7 Korean patients	Nail lichen striatus ;  Lichen striatus
2788	The Period of Abortion Storm Caused by Equine Herpesviruses in Thoroughbred Breeding Farms in South Korea = 국내 Thoroughbred경주마 생산목장에서 Equine Herpesvirus에 의한 유산폭풍의 발생기간	EHV- 1 ;  EHV-4 ;  Abortion storm ;  Thoroughbred breeding farm ;  South Korea
2789	당뇨병 환자의 안면부 파라핀 주사부위에 발생한 피부 모균병 = A Case of Cutaneous Mucormycosis Developed in a Diabetic Patient with lnjection of Paraffin on the Face	Paraffinoma ;  Mucormycosis
2790	위에 발생한 광범위 큰 B세포 림프종과 연관된 한랭글로불린혈증 = Cryoglobulinemia Associated with Gastric Diffuse Large B Cell Lymphoma	B cell ;  Cryoglobulinemia ;  Lymphoma
2791	Cardiac Embolism Followed by Perforation of Right Ventricle after Percutaneous Vertebroplasty	Embolism ;  Fractures ;  compression ;  Polymethyl methacrylate ;  Vertebroplasty
2792	『우잠잡저(愚岑雜著)』 소재(所在) 광증(狂證) 이안(二案)에 관(關)한 연구(硏究) = A Study on two cases of Insanity in 『WooJam JabJeo(愚岑雜著)』	『WooJam JabJeo』 ;  『우잠잡저』 ;  『愚岑雜著』 ;  Jang-Taegyung ;  Insanity ;  Misdiagnosis ;  Medical Verdict
2793	불량한 예후와 관련된 피부 발진을 동반한 다발성 연골염 1 예 = A Case of Relapsing Polychondritis Accompanied by Rash Associated with Poor Prognosis	Relapsing polychondritis ;  rash ;  fever ;  arthritis ;  myelodysplastic syndrome
2794	악성 변화를 보인 첨규 콘딜롬 = A Case of Condyloma Acuminatum Showing Malignant Transformation	Condyloma Acuminatun ;  Malignant Transformation ;  Human Papillornavis 16
2795	전이성 피부 석회증 1예 = A Case of Metastatic Calcinosis Cutis	Metastatic calcinosis ;  End-stage renal disense
2796	한관종 80예의 임상 및 병리조직학적 고찰 = A Clinicopathologic Analysis of Eighty Patients with Syringoma한관종 80예의 임상 및 병리조직학적 고찰	Syringoma ;  Skin manifestations ;  Histopathology
2797	조갑이영양증을 동반한 선상태선 3예 = Three Cases of Lichen Striatus with Onychodystrophy	Lichen striatus ;  Onychodystrophy
2798	중증근무력증을 동반한 흉선외 악성림프종 1례 = A Case of Myasthenia Gravis Associated with Extrathymic Malignant lymphoma	Lymphoma ;  Myasthenia gravis
2799	급성 심근 경색으로 발현된 다발성 결절성 동맥염 1예 = Polyarteritis Nodosa Presenting as Acute Myocardial Infarction	다발성 결절성 동맥염 ;  급성 심근 경색 ;  Polyarteritis nodosa ;  Acute myocardial infarction
2800	증예(症例) : 장티푸스에 의한 급성 호흡곤란 증후군 1예 = Case Reports : A case of typhoid fever complicated with acute respiratory distress syndrome	Typhoid fever ;  Salmonella typhi ;  Acute respiratory distress syndrome
2801	정상면역환자에서 발생한 매독성 포도막염 1예 = A Case of Syphilitic Uveitis in an Immunocompetent Patien	Syphilitic uveitis ;  Visual disturbance ;  Immunocompetent patient
2802	간세포암종이 있는 당뇨환자에서 발생한 흉골연 농양 = Case Report : A Case of Primary Parasternal Abscess in a Cirrhotic and Diabetic Patient with Hepatocellular Carcinoma	Cirrhosis ;  Diabetes mellitus ;  Hepatocellular carcinoma ;  Parasternal abscess ;  Transarterial chemoembolization
2803	대장의 다발성 림프구 증식증 형태를 초래한 진행 위암 = A Case of Advanced Gastric Cancer Presenting as Multiple Colonic Lymphoid Hyperplasia	Stomach neoplasms ;  Signet ring cell carcinoma ;  Neoplasm metastasis
2804	[P115] Isolated HLA-B27-associated dactylitis in a child and review of literature = [P115] Isolated HLA-B27-associated dactylitis in a child and review of literature	Dactylitis ;  Spondyloarthropathy ;  HLA-B27
2805	6개월 영아에서 발병한 연소형 골수단구성백혈병 1예 = A Case of Juvenile Myelomonocytic Leukemia in a Six Months Old Infant	Juvenile myelomonocytic leukemia ;  Childhood myelodysplastic syndrome ;  Fetal hemoglobin ;  Infant ;  Extramedullary hematopoiesis
2806	증례 : 신이식 환자에서 신부전을 동반한 신장 유육종증 1예 = Case Reports : A Case of Sarcoidosis Associated with Renal Failure in a Kidney Transplant Patient	유육종증 ;  신부전 ;  신이식 ;  Sarcoidosis ;  Renal insufficiency ;  Kidney transplantation
2807	A radiolucent lesion of the jaw as a presentation form of a mucoepidermoid carcinoma of the oral cavity	Oral cavity ;  Mucoepidermoid carcinoma ;  Radiolucent lesion
2808	성인 환자에서 위와 결장에 동시 침범한 랑게르한스 세포 조직구증: 증례 보고 = Langerhans Cell Histiocytosis with the Synchronous Invasion of Stomach and Colon in an Adult Patient: A Case Report	Case reports ;  Histiocytosis ;  Langerhans-cell ;  Gastrointestinal tract ;  S100 ;  CD1a
2809	Cyclosporine A에 의한 급성뇌증 1례 = A Case of Cyclosporine A-Induced Encephalopathy in a Child with Nephrotic Syndrome	Cyclosporine A ;  Encephalopathy
2810	피부와 정신장기를 침범한 다발성 연소성 황색육아종 1례 = A Case of Multiple Juvenile Xanthogranuloma Involving Skin and Systemic Organs	juvenile xanthogranuloma ;  Systemic involvement
2811	악성빈혈 4예 = Pernicious Anemia 4 Cases	Pernicious anemia ;  Atrophic gastritis
2812	배란유도 후 발생한 병합임신의 만기분만 = A Case of Term Delivery in Heterotopic Pregnancy after Ovulation Induction	Heterotopic pregnancy ;  Ovulation induction ;  Term delivery ;  병합임신 ;  배란유도 ;  만기분만
2813	칸디다 조갑진균증을 동반한 영아 조갑감입증 1예 = A Case of Infantile Ingrowing Nail Associated with Candidal Onychomycosis	Infantile ingrowing nail ;  Onychomycosis ;  Candida parapsilosis
2814	일개 광역도 도서와 육지주민의 건강수준 및 보건의료행태 비교 연구 = A Comparative Study on the Difference of Health Status and Health Behavior between Island and Land Residents in the One of the Provincial Government	Health Status ;  Health Behavior ;  Island and Land Residents
2815	장간막에서 발생한 다형태형 지방육종 = A Case of Pleomorphic Liposarcoma Originating from Mesentery	Liposarcoma ;  pleomorphic ;  Mesentery
2816	Lynch Syndrome-Associated Glioblastoma Treated With Concomitant Chemoradiotherapy and Immune Checkpoint Inhibitors: Case Report and Review of Literature = Lynch Syndrome-Associated Glioblastoma Treated With Concomitant Chemoradiotherapy and Immune Checkpoint Inhibitors: Case Report and Review of Literature	Lynch syndrome ;  Glioblastomas ;  Immunotherapy
2817	폐에 발생한 자궁내막증 - 1예 보고 = Pulmonary Endometriosis - A case report -	Endometriosis ;  Lung ;  Hemoptysis
2818	범혈구 감소증을 동반한 골수 괴사 1예 = A Case Report of Bone Marrow Necrosis with Pancytopenia	Bone marrow necrosis ;  Pancytopenia
2819	Case Reports : Hypohidrotic Ectodermal Dysplasia Associated with Glucose-6-Phosphate Dehydrogenase Deficiency = Case Reports : Hypohidrotic Ectodermal Dysplasia Associated with Glucose-6-Phosphate Dehydrogenase Deficiency	Ectodermal dysplasia ;  Glucose-6-phosphate dehydrogenase deficiency hypohidrotic
2820	간 동문맥 루 1예 = A Case of Hepatic Artery-Portal Vein Fistula	간 동문맥 루 ;  복부 손상 ;  Hepatic artery-portal vein fistula ;  Abdominal trauma
2821	브루톤형 무감마글로불린혈증에서 발현한 류마티스관절염 1예 = A Case of Rheumatoid Arthritis in a Patient with Bruton-Type Agammaglobulinemia	Bruton-type agammaglobulinemia ;  Rheumatoid arthritis ;  Anti-rheumatic agents
2822	운동중 발생된 자발성 관동맥 내막박리의 Stent 치료 1예 = A Case of Spontaneous Coronary Artery Dissection during Exercise Treated with Stenting	Spontaneous coronary artery dissection ;  Intracoronary stenting
2823	중추 신경계 발달이상을 동반한 색소실소증 1례 = A Case of Incontinentia Pigmenti with Developmental Brain Malformation	Incontinentia pigmenti ;  Neonatal seizure ;  Encephalopathy
2824	성인에서 Mycoplasma pneumoniae 페렴과 동반된 Stevens-Johnson 증후군 1예 = A Case of Stevens-Johnson Syndrome Associated with Mycoplasma pneumoniae Pneumonia in an Adult Patient	Stevens-Johnson syndrome ;  Mycoplasma pneumoniae
2825	Case Reports : Intractable rectal stricture caused by hot water enema = Case Reports : Intractable rectal stricture caused by hot water enema	Hot water enema ;  Rectal burn ;  Rectal stricture ;  Constipation
2826	Mixed adenoneuroendocrine carcinoma of the ampulla of Vater: Three case reports and a literature review	Adenocarcinoma ;  Neuroendocrine tumor ;  Ampulla of Vater ;  Immunohistochemistry
2827	가바펜틴에 의한 스티븐스-존슨 증후군 = A Case of Stevens-Johnson Syndrome Induced by Gabapentin	Stevens-Johnson syndrome ;  Gabapentin
2828	비관통성 외상으로 발생한 광범위 폐열상 1례 = A Case of Extensive Pulmonary Laceration Caused by Nonpenetrating Trauma	Nonpenetrating trauma ;  Pulmonary laceration ;  Thoracoscopic Iobectomy (VATS)
2829	신증후군의 재발과 함께 발생된 관상동맥 혈전증에 의한 급성 심근경색 = A Case of Acute Myocardial Infarction Due to Coronary Artery Thrombosis During the Relapse of Nephrotic Syndrome	Nephrotic syndrome ;  Acute myocardial infarction ;  Intracoronary thrombosis ;  Hypercoagulable state
2830	전신성 홍반성 루푸스 환자에 동반된 스위트 증후군 = A Case of Sweet`s Syndrome in a Patient with Systemic Lupus Erythematosus	Sweet`s syndrome ;  Systemic Lupus erythematosus
2831	전신성 경화증에 동반된 장벽낭상기종 = A Case of Pneumatosis Cystoides Intestinalis in a Patient with Systemic Sclerosis	Pneumatosis cystoides intestinalis ;  PCI ;  Systemic sclerosis
2832	[P368] A case of bowenoid papulosis with malignant transformation in a patient with non-Hodgkin lymphoma = [P368] A case of bowenoid papulosis with malignant transformation in a patient with non-Hodgkin lymphoma	Bowenoid papulosis ;  Malignant transformation ;  Squamous cell carcinoma
2833	기종격과 기흉으로 발현된 아스페르길루스증을 보인 급성 골수성 백혈병 1례 = A Case of Invasive Aspergillosis Manifestated by Pneumothorax and Pneumomediastinum in Acute Myelogenous Leukemia	Acute myelogenous leukemia ;  Invasive aspergillosis ;  Pneumothorax ;  Pneu-momediastinum
2834	좌측편위 충수 돌기염 1례 보고 = Left-Sided Appendicitis -A Case Report-	Left-sided appendix ;  Situs inversus ;  Malrotation
2835	[P518] Diagnostic challenge: Linearly distributed lichenoid papules in adults : lichen striatus or adult blaschkitis = [P518] Diagnostic challenge: Linearly distributed lichenoid papules in adults : lichen striatus or adult blaschkitis	Adult blaschko dermatitis ;  Lichen striatus ;  Linear eruption
2836	Candida guilliermondii와 연관된 중심성 환상 홍반 = Erythema Annulare Centrifugum Associated with Candida guilliermondii	Candida ;  Erythema annulare centrifugum
2837	비흑색종 피부암 186예의 완전 절제술 후 재건술의 고찰 = A Study of Reconstruction Methods for 186 Cases after Complete Excision of Nonmelanoma Skin Cancers비흑색종 피부암 186예의 완전 절제술 후 재건술의 고찰	Clinical finding ;  Complete excision ;  Nonmelanoma skin cancer ;  Reconstruction method
2838	피부근염에서 동시에 발생된 거대세포바이러스 폐렴과 망막염 = Simultaneous Occurrence of Cytomegalovirus Pneumonitis and Retinitis in a Patient with Dermatomyositis	Cytomegalovirus pneumonitis ;  Cytomegalovirus retinitis ;  Dermatomyositis
2839	소라페닙 치료 실패 후 세포독성화학요법으로 완전반응을 보인 폐전이를 동반한 간세포암 1예 = A Case of Hepatocellular Carcinoma with Pulmonary Metastasis Who Showed Complete Response by Cytotoxic Chemotherapy after Sorafenib Failure	Hepatocellular carcinoma ;  Pulmonary metastasis ;  Cytotoxic chemotherapy ;  Sorafenib
2840	파종혈관내응고와 동반된 Stewart-Treves 증후군 = A Case of Stewart-Treves Syndrome Associated with Disseminated Intravascular Coagulation	Angiosarcoma ;  Disseminated intravascular coagulation ;  Stewart-Treves syndrome
2841	증례 : 호흡기 ; 신우신염에 의해 유발된 패혈색전증 1예 = Case Reports : Pulmonology ; A case of septic pulmonary embolism due to pyelonephritis	Sepsis ;  Pulmonary embolism ;  Pyelonephritis ;  Diabetes mellitus ;  패혈증 ;  폐색전증 ;  당뇨병 ;  신우신염
2842	원발성 자궁경부 소세포암 1예 = A case of small cell carcinoma of the uterine cervix	Small cell carcinoma ;  Uterine cervix ;  자궁경부 ;  소세포암
2843	비장절제를 시행한 Wiskott-Aldrich 증후군 1례 = A Case of Wiskott-Aldrich Syndrome Treated with Splenectomy	Wiskott-Aldrich syndrome ;  Splenectomy
2844	조영 경식도 심초음파에 의한 난원공개존 유병율 및 임상적 의의 = Frequency of Patent Foramen Ovale and Its Clinical Significance	Contrast Transesophageal Echocardiography ;  Patent Foramen Ovale ;  Paradoxical Embolism
2845	안구증상을 동반한 Ectrodactyly - Ectodermal Dysplasia - Clefting(EEC) 증후군 1례 = Ectrodactyly - Ectodermal Dysplasia - Clefting(EEC) Syndrome with Ocular Defects and Nevus Lipomatosus Cutaneous Superficialis	Ectrodactyly ectodermal dysplasia cleft lip and palate ;  Ocular defects ;  Neuvs lipomatosus cutaneous superficialis
2846	제4형 고지질단백혈증과 Koebner 현상이 동반된 발진황색종 = A Case of Eruptive Xanthoma Associated with Type 4 Hyperlipoproteinemia and Koebner Phenomenon	Eruptive xanthoma ;  Koebner phenomenon ;  Type 4 hyperlipoproteinemia
2847	Case Reports : The Co-Existence of Vulvar Lichen Sclerosus, Ulcerated Calcinosis Cutis, and Dermatomyositis: Coincidence or Immunological Mechanism? = Case Reports : The Co-Existence of Vulvar Lichen Sclerosus, Ulcerated Calcinosis Cutis, and Dermatomyositis: Coincidence or Immunological Mechanism?	Calcinosis cutis ;  Dermatomyositis ;  Lichen sclerosus
2848	Case Reports : The Three Dimensional Conformal Radiotherapy for Hyperkeratotic Plantar Mycosis Fungoides = Case Reports : The Three Dimensional Conformal Radiotherapy for Hyperkeratotic Plantar Mycosis Fungoides	Hyperkeratotic plantar Lesions ;  Mycosis fungoides ;  Three-dimensional conformal radiotherapy (3D-CRT)
2849	Poland 증후군 = 1예 보고	Pectoralis major muscle ;  Poland syndrome ;  대흉근 ;  Poland 증후군
2850	모자간에 발생한 선천성 신성요붕증 = Congenital Nephrogenic Diabetes Insipidus Developing in the Mother and the Son	Congenital nephrogenic diabetes insipidus ;  X-linked recessive ;  Vasopressin type 2 receptor ;  Gene mutation
2851	심근침범을 동반한 Becker형 근이영양증 환자에서 확인한 Dystrophin 유전자 Exon결실 = Deletion of 'Exon in the Dystrophin Gene in a Case of Becker Muscular Dystrophy with Cardiac Involvement	근이영양증 ;  확장성 시근병증 ;  Becker muscular dystrophy ;  Dystrophin ;  Exon deletion ;  Dilated cardiomyopathy
2852	Burkholderia cepacia 패혈증 2례 = Two Case of Burkholderia cepacia Sepsis	Burkholderia cepacia ;  Sepsis
2853	간경변증의 원인적 분류와 형태학적 특성 -간생검 조직을 대상으로- = Liver Cirrhosis -Etiological diagnosis and morphological characteristics of 369 biopsy-proven cases-	Liver cirrhosis ;  Postnecrotic cirrhosis ;  Alcoholic cirrhosis ;  Biliary cirrhosis
2854	항사구체기저막 항체 및 MPO-ANCA 양성인 초승달 사구체신염 = A Case of Crescentic Glomerulonephritis with Coexisting Anti-Glomerular Basement Membrane Antibodies and Myeloperoxidase-Anti-Neutrophil Cytoplasmic Autoantibodies	Anti-glomerular basement membrane antibody ;  Glomerulonephritis ;  ANCA
2855	복합 심기형이 동반된 선천성 우측 흉곽내 이소성 신 1례 = A Case of Right Intrathoracic Kidney with Complex Cardiac Anomalies	심장기형 ;  흉곽내 이소성 신 ;  Intrathoracic kidney ;  Renal ectopia ;  Cardiac anomalies
2856	경부 지방종증의 치험 = Treatment of Benign Symmetric Lipomatosis	Lipoma ;  Benign symmetric lipomatosis ;  Collar incision ;  Liposuction
2857	Minimally Invasive Surgery in a Pediatric Palatal Plasmacytoid Myoepithelioma = 소아의 구개부에 발생한 plasmacytoid myoepithelioma의 최소 침습적 제거술	Myoepithelioma ;  Minimally invasive ;  Conservative ;  최소 침습 ;  보존적
2858	마이코플라즈마 폐렴균 감염에 의한 결절성 홍반; 조직병리학적 소견과 병인론의 고찰 = A Case of Erythema Nodosum Associated with Mycoplasma pneumoniae Infection: Pathologic Findings and a Presumed Pathogenesis	Erythema nodosum ;  Mycoplasma pneumoniae ;  Type IV hypersensitivity ;  Pathogenesis
2859	만성 복통과 철결핍빈혈로 인하여 소화기 질환으로 오인된 발작성 야간혈색소뇨증 1예 = Paroxysmal Nocturnal Hemoglobinuria Presenting with Chronic Abdominal Pain and Iron Deficiency Anemia	Hemoglobinuria ;  Paroxysmal ;  Abdominal pain ;  Anemia ;  Iron-deficiency ;  발작성 야간혈색소뇨증 ;  만성 복통 ;  철결핍빈혈
2860	골반문증 - 증례 보고 - = Osteopoikilosis - Case Report -	골반문증 ;  방사선학적 소견 ;  임상적 특징
2861	A Case of Generalized Fixed Drug Eruption due to Mefenamic Acid	Generalized fixed drug eruption ;  Mefenamic acid
2862	항 TNF 차단제로 치료한 고령에서 발생한 강직성척추염 증례 = Case Reports : Treatment of Late Onset Ankylosing Spondylitis with TNF Antagonist: A Case Series	Late onset ;  Ankylosing spondylitis ;  TNF antagonist
2863	비전격성 급성 A형 간염에 합병된 급성 신부전증의 1예 = A case of acute renal failure associated with non-fulminant acute hepatitis A	Acute hepatitis A ;  Acute renal failure ;  Tubulointerstitial nephritis ;  급성 A형 간염 ;  급성 신부전 ;  세뇨관사이질 콩팥염
2864	영아 화농성 견관절염의 관절경적 치료 - 증례 보고 - = Arthroscopic Treatment for Pyogenic Arthritis of the Shoulder in an Infant - A Case Report -	영아 ;  견관절 ;  화농성 관절염 ;  관절경
2865	비복근 기시부의 해부학적 기형에 의한 양측성 슬와 동맥 포착 증후군 = Case Report : Clinical Bilateral Poplitear Artery Entrapment Syndrome Caused by a Anomalous Origin of the Gastrocnemius Muscle	Popliteal artery ;  Entrapment syndrome
2866	증례 : 알레르기 ; 옻닭 섭취 후 패혈증 쇼크 양상을 보인 급성 전신성 발진성 농포증 1예 = Case Reports : Allergy ; A Case of Acute Generalized Exanthematous Pustulosis with Patterns of Septic Shock	급성 전신성 발진성 농포증 ;  옻 ;  Acute generalized exanthematous pustulosis ;  Lacquer chicken
2867	증례 : 위장관 출혈로 발견된 신세포암의 늦은 십이지장전이 1예 = Case Reports : Late Presentation of Metastatic Renal Cell Carcinoma as a Bleeding Duodenal Mass	신세포암 ;  십이지장 ;  전이 ;  Carcinoma ;  Renal cell ;  Duodenum ;  Neoplasm metastasis
2868	Amyloidosis를 동반한 POEMS 증후군 1예 = A case of POEMS syndrome associated with amyloidosis	POEMS syndrome ;  Amyloidosis
2869	인플루엔자B 바이러스 감염 후 발생한 단독 동안신경마비 1례 = Acute Isolated Oculomotor Nerve Palsy after Influenza B Virus Infection in a 4-year-old Girl	Oculomotor nerve palsy ;  Influenza B virus ;  Steroid
2870	WOPN을 동반한 급성 괴사성 췌장염 환자에서 내시경적 췌장괴사 제거술 후 발생한 Wernicke Encephalopathy = Wernicke Encephalopathy after Endoscopic Necrosectomy in Acute Necrotizing Pancreatitis with WOPN A Case Report	췌장염 ;  급성 괴사성 ;  내시경적 괴사제거술 ;  베르니케뇌병 ;  구역성 췌장괴사 ;  Pancreatitis ;  Acute necrotizing ;  Endoscopic necrosectomy ;  Wernicke encephalopathy ;  WOPN
2871	맞춤형 방문건강관리사업 활성화를 위한 직무교육 만족도 = A Study of Job Educational Satisfaction for Activating of Tailor Made Visiting Home Health Care	맞춤형 방문건강관리사업 ;  직무교육만족도
2872	[Wildlife Health and Conservation] Successful treatment of gastrocnemius muscle rupture in a long-tailed goral rescued from a live trap: a case report	Gastrocnemius muscle rupture ;  long-tailed goral ;  magnetic resonance imaging ;  live trap ;  lameness
2873	소아에서 발생한 선상 루푸스 지방층염 = A Case of Linear Lupus Panniculitis in Child	Linear distribution ;  Lupus erythematosus profundus ;  Lupus panniculitis
2874	증례 : 소화기 ; 혈액 담즙증으로 진단된 간내 담관 내 유두모양 담관암 1예 = Case reports : Gastroenterology ; A case of hemobilia caused by an intraductal papillary neoplasm of the bile duct	Biliary IPN ;  Hemobilia ;  Cholangioscopy ;  담관 유두종 ;  혈액담즙증 ;  담도경
2875	일차성 쇼그렌 증후군에서 병발한 흉막삼출액	Primary Sjögren's syndrome ;  Pleural effusion
2876	Asymptomatic Pulmonary Cement Embolism after Cement-Augmented Pedicle Screw Instrumentation: A Case Report	Bone cements ;  Pedicle screws ;  Pulmonary embolism
2877	소아에서 결핵성 중이염 1례 = A Case of Tuberculous Otitis Media in Children	Tuberculous otitis media ;  Chronic otitis media ;  Child
2878	방사선 치료로 인한 국소 피부경화증 1예 = Short Report : A Case of Postirradiation Morphea	Breast cancer ;  Morphea ;  Radiation ;  Scleroderma
2879	원발성 침윤성 외음부암의 임상적 고찰 = Primary Invasive Vulvar Cancer, Retrospective Study of 23 cases	외음부 ;  외음부암 ;  Vulva ;  Vulvar cancer
2880	증례 : 악성 림프종에 의해 유발된 위-비장 누공 1예 = Case Reports : A case of gastrosplenic fistula caused by a malignant Lymphoma	누공 ;  위 ;  비장 종양 ;  림프종 ;  Fistula ;  Stomach ;  Splenic malignancies ;  Lymphoma
2881	증례 : 선택적 동맥내 칼슘주입법으로 진단된 Zollinger-Ellison 증후군 1예 = Case Reports : A case of Zollinger-Ellison syndrome: Localization of gastrinoma by selective intra-arterial calcium injection	Zollinger-Ellison syndrome ;  Gastrinoma ;  Selective intra-arterial calcium injection ;  가스트린종 ;  Zollinger-Ellison 증후군 ;  선택적 동맥내 칼슘 주입법
2882	재발성 세균성 뇌수막염을 동반한 특발성 접형골형 뇌류 1례 = A case of Spontaneous Transsphenoidal Encephalocele with Recurrent Bacterial Meningitis	Trasnssphenoidal encephalocele ;  Recurrent bacterial meningitis
2883	38세 여자의 공장에서 발생한 원시신경외배엽종양 1예 = A case of jejunal primitive neuroectodermal tumor in an adult female	Neuroectodermal Tumors ;  Chemotherapy ;  Jejunum ;  원시신경외배엽종양 ;  항암화학요법 ;  공장
2884	Wo¨lff-Parkinson-White 증후군을 동반한 비후형 심근증 1례 = A Case of Hypertrophic Cardiomyopathy Associated with Wo¨lff-Parkinson-White Syndrome	Wo¨lff-Parkinson-White Syndrome ;  Hypertrophic cardiomyoparthy ;  Sudden cardiac death ;  Hydrocephalus
2885	자궁경부암의 전골반방사선치료 후 발생한 대퇴골두 무혈성괴사 2예 = Two Cases of Avascular Necrosis of the Femur Head after Whole Pelvic Radiation Therapy for the Treatment of Cervical Cancer	무혈성 괴사 ;  대퇴골두 ;  방사선치료 ;  Avascular necrosis ;  Femoral head ;  Radiation therapy
2886	국소 피부경화증에서 발생한 경표피배출을 보이는 이상증 피부석회증 = Short Report : Dystrophic Calcinosis Cutis with Transepidermal Elimination Secondary to Localized Scleroderma	Dystrophic calcinosis cutis ;  Localized scleroderma ;  Transepidermal elimination
2887	22개월 남아에서 Epstein-Barr Virus 감염과 연관되어 발생한 호산구성 근막염 1례 = Eosinophilic Fasciitis in a 22 Month Old Boy Associated with Epstein-Barr Virus Infection	Eosinophilic fasciitis ;  Epstein-Barr virus ;  Childhood
